Schools,LAT,LON,ALT,Context,label,score,label_numeric
collège Cévenol,45.06096,4.303929,961,"r eux 
non pas un juif mais un hebreu persécuté le chef du village le leader du 
village l'inspirateur du mouvement de la protection des juifs le pasteur 
Trocmé André Trocmé sa femme Magda Trocmé m'ont jugé apte d'aller au 
collège Cévenol c'est déjà extraordinaire qu'il y avait un collège c'est 
à dire une école privée d'enseignement secondaire dans un village de 1500 
habitants à la limite de la Haute-Loire et de l'Ardèche et c'est ainsi 
que j'ai pu continu",joy,0.8792190551757812,3
collège Cévenol,45.06096,4.303929,961,"
pantalonnière, si vous voulez.

Et alors, mes frères... Mes frères, là, ont fini l'année sans scolarité, 
la même chose. Et ce n'est qu'à la rentrée, qu'on s'est organisé un peu 
mieux. C'est-à-dire que... Eux sont allés au Collège Cévenol, au 
Chambon-sur-Lignon.

Et moi, j'ai continué ma philo par correspondance. Et entre-temps.

Alors là donc nous sommes arrivés à Fay-sur-Lignon en mars 43, avril, 
mai, c'est pas mal pas mal passé, enfin les gens savaient q",neutral,0.9802185297012329,4
collège Cévenol,45.06096,4.303929,961,"e petite maison de paysans, disons, et puis vers octobre 44, un peu 
avant de revenir sur Marseille, on est revenu dans la maison où on avait 
laissé quelques affaires, on a payé ce qu'on devait, les enfants sont 
revenus du Collège Cévenol et on a décidé de rentrer à Marseille.

Alors à Fay-sur-Lignon, je vous ai dit, le village n'était pas occupé par 
les Allemands, mais quand on a entendu que l'armée d'Afrique passait par 
Le Chambon-sur-Lignon, on est tous ",neutral,0.9563561081886292,4
collège Cévenol,45.06096,4.303929,961," manifestaient toutes les nuits. Au premier étage, donc, mes 
parents et moi-même. Entre-temps, ma soeur avait été, elle aussi, cachée 
au Chambon-sur-Lignon, mais ayant 14 ans, elle était inscrite au collège, 
il y avait un Collège Cévenol au Chambon-sur-Lignon, qui a une très bonne 
réputation, et donc elle est allée en classe au Chambon-sur-Lignon même, 
avec une de mes cousines qui avait à peu près son âge.

Je serais incapable de vous dire quel nom nous av",neutral,0.8677714467048645,4
collège Cévenol,45.06096,4.303929,961,"gare, et ma mère demande une pension, et le cafetier 
indique Les Heures Claires, alors au Chambon-sur-Lignon, ce n'était pas 
des pensions d'adultes qu'il y avait, c'était des pensions d'enfants, et 
les enfants allaient au collège Cévenol, pour ceux qui avaient les moyens 
qu'ils pouvaient payer, ou bien jusqu'en troisième, au cours 
complémentaire, c'est-à-dire le deuxième cycle jusqu'au brevet, le cours 
complémentaire de l'État, et nous avons rencontré une",neutral,0.8573617935180664,4
collège Cévenol,45.06096,4.303929,961," le pasteur Theis et le pasteur 
Trocmé. Et j'allais le mercredi matin, il y avait un culte que pour les 
étudiants.

Avant d'aller à l'école, on allait au culte, et je me suis régalé.

Alors, M. Trocmé était le directeur du collège Cévenol. Il avait créé, je 
crois, avec Magda Trocmé, sa femme.

Ils avaient trois ou quatre enfants. Le pasteur Trocmé était l'homme 
dynamique, énergique, qui, à certains moments, téléphonait à des amis 
fermiers. Ce que je vous r",joy,0.9643518328666687,3
collège Cévenol,45.06096,4.303929,961,"ermiers, et leur disait, je t'envoie deux livres, 
je t'envoie deux anciens testaments. Et donc, il savait qu'il allait 
recevoir deux enfants juifs.

Ça, c'était le pasteur Trocmé. Le pasteur Theis, qui était professeur au 
collège Cévenol, faisait également des sermons merveilleux le dimanche 
matin, où il demandait aux gens de donner, d'accueillir. Enfin, c'était 
en termes voilés, naturellement, mais très compréhensif pour les braves 
gens, les très braves ",joy,0.8357830047607422,3
collège Cévenol,45.06096,4.303929,961,"lhouse, et il 
fallait voir pour mes parents d'aller repérer de nouveau pour savoir tout 
ce qu'il y avait ou tout ce qu'il n'y avait pas.

Alors nous, nous avons fait l'examen d'entrée en sixième, au Chambon-sur-Lignon, 
au collège Cévenol, et c'est avec les résultats de ce que nous 
avions fait là-bas, cet examen d'entrée, que nous avons été admis 
finalement au lycée à Mulhouse quand nous sommes arrivés.

Comme nous n'avions pas d'argent de reste, ma mère la",neutral,0.9584004878997803,4
collège Cévenol,45.06096,4.303929,961,"Oui, on avait des cours. Il y avait une école. 

Oui, il y avait un grand collège. D'abord, le Chambon-sur-Lignon est très 
réputé parce qu'il a un immense collège qui a une réputation nationale et 
internationale qui est le collège Cévenol. Parce que c'est dans les 
Cévènes. C'est dans les Cévènes. Et c'est un collège, encore aujourd'hui, 
très, très réputé et très calé. A l'époque, c'était beaucoup plus 
restreint.

Mais il y avait aussi l'école communale qui",neutral,0.7604925632476807,4
Collège Cévenol,45.06096,4.303929,961,"r eux 
non pas un juif mais un hebreu persécuté le chef du village le leader du 
village l'inspirateur du mouvement de la protection des juifs le pasteur 
Trocmé André Trocmé sa femme Magda Trocmé m'ont jugé apte d'aller au 
collège Cévenol c'est déjà extraordinaire qu'il y avait un collège c'est 
à dire une école privée d'enseignement secondaire dans un village de 1500 
habitants à la limite de la Haute-Loire et de l'Ardèche et c'est ainsi 
que j'ai pu continu",joy,0.8792190551757812,3
Collège Cévenol,45.06096,4.303929,961,"
pantalonnière, si vous voulez.

Et alors, mes frères... Mes frères, là, ont fini l'année sans scolarité, 
la même chose. Et ce n'est qu'à la rentrée, qu'on s'est organisé un peu 
mieux. C'est-à-dire que... Eux sont allés au Collège Cévenol, au 
Chambon-sur-Lignon.

Et moi, j'ai continué ma philo par correspondance. Et entre-temps.

Alors là donc nous sommes arrivés à Fay-sur-Lignon en mars 43, avril, 
mai, c'est pas mal pas mal passé, enfin les gens savaient q",neutral,0.9802185297012329,4
Collège Cévenol,45.06096,4.303929,961,"e petite maison de paysans, disons, et puis vers octobre 44, un peu 
avant de revenir sur Marseille, on est revenu dans la maison où on avait 
laissé quelques affaires, on a payé ce qu'on devait, les enfants sont 
revenus du Collège Cévenol et on a décidé de rentrer à Marseille.

Alors à Fay-sur-Lignon, je vous ai dit, le village n'était pas occupé par 
les Allemands, mais quand on a entendu que l'armée d'Afrique passait par 
Le Chambon-sur-Lignon, on est tous ",neutral,0.9563561081886292,4
Collège Cévenol,45.06096,4.303929,961," manifestaient toutes les nuits. Au premier étage, donc, mes 
parents et moi-même. Entre-temps, ma soeur avait été, elle aussi, cachée 
au Chambon-sur-Lignon, mais ayant 14 ans, elle était inscrite au collège, 
il y avait un Collège Cévenol au Chambon-sur-Lignon, qui a une très bonne 
réputation, et donc elle est allée en classe au Chambon-sur-Lignon même, 
avec une de mes cousines qui avait à peu près son âge.

Je serais incapable de vous dire quel nom nous av",neutral,0.8677714467048645,4
Collège Cévenol,45.06096,4.303929,961,"gare, et ma mère demande une pension, et le cafetier 
indique Les Heures Claires, alors au Chambon-sur-Lignon, ce n'était pas 
des pensions d'adultes qu'il y avait, c'était des pensions d'enfants, et 
les enfants allaient au collège Cévenol, pour ceux qui avaient les moyens 
qu'ils pouvaient payer, ou bien jusqu'en troisième, au cours 
complémentaire, c'est-à-dire le deuxième cycle jusqu'au brevet, le cours 
complémentaire de l'État, et nous avons rencontré une",neutral,0.8573617935180664,4
Collège Cévenol,45.06096,4.303929,961," le pasteur Theis et le pasteur 
Trocmé. Et j'allais le mercredi matin, il y avait un culte que pour les 
étudiants.

Avant d'aller à l'école, on allait au culte, et je me suis régalé.

Alors, M. Trocmé était le directeur du collège Cévenol. Il avait créé, je 
crois, avec Magda Trocmé, sa femme.

Ils avaient trois ou quatre enfants. Le pasteur Trocmé était l'homme 
dynamique, énergique, qui, à certains moments, téléphonait à des amis 
fermiers. Ce que je vous r",joy,0.9643518328666687,3
Collège Cévenol,45.06096,4.303929,961,"ermiers, et leur disait, je t'envoie deux livres, 
je t'envoie deux anciens testaments. Et donc, il savait qu'il allait 
recevoir deux enfants juifs.

Ça, c'était le pasteur Trocmé. Le pasteur Theis, qui était professeur au 
collège Cévenol, faisait également des sermons merveilleux le dimanche 
matin, où il demandait aux gens de donner, d'accueillir. Enfin, c'était 
en termes voilés, naturellement, mais très compréhensif pour les braves 
gens, les très braves ",joy,0.8357830047607422,3
Collège Cévenol,45.06096,4.303929,961,"lhouse, et il 
fallait voir pour mes parents d'aller repérer de nouveau pour savoir tout 
ce qu'il y avait ou tout ce qu'il n'y avait pas.

Alors nous, nous avons fait l'examen d'entrée en sixième, au Chambon-sur-Lignon, 
au collège Cévenol, et c'est avec les résultats de ce que nous 
avions fait là-bas, cet examen d'entrée, que nous avons été admis 
finalement au lycée à Mulhouse quand nous sommes arrivés.

Comme nous n'avions pas d'argent de reste, ma mère la",neutral,0.9584004878997803,4
Collège Cévenol,45.06096,4.303929,961,"Oui, on avait des cours. Il y avait une école. 

Oui, il y avait un grand collège. D'abord, le Chambon-sur-Lignon est très 
réputé parce qu'il a un immense collège qui a une réputation nationale et 
internationale qui est le collège Cévenol. Parce que c'est dans les 
Cévènes. C'est dans les Cévènes. Et c'est un collège, encore aujourd'hui, 
très, très réputé et très calé. A l'époque, c'était beaucoup plus 
restreint.

Mais il y avait aussi l'école communale qui",neutral,0.7604925632476807,4
école Cévenol,45.06096,4.303929,961,"se. Je pense que c'est une des raisons, un petit 
peu, de la tranquillité du Chambon-sur-Lignon, malgré la présence des 
Allemands. 

Eh bien, au Chambon-sur-Lignon, nous allions en classe. Il y avait un 
collège qui était l'école Cévenol. Et cette école Cévenol, donc, je ne me 
souviens pas exactement, parce que c'était des questions qui ne me 
préoccupaient pas autrement de qui et comment dirigeait l'école Cévenol. 
Enfin bon, il y avait le pasteur Trocmé, ",neutral,0.9883456230163574,4
école Cévenol,45.06096,4.303929,961,"ne des raisons, un petit 
peu, de la tranquillité du Chambon-sur-Lignon, malgré la présence des 
Allemands. 

Eh bien, au Chambon-sur-Lignon, nous allions en classe. Il y avait un 
collège qui était l'école Cévenol. Et cette école Cévenol, donc, je ne me 
souviens pas exactement, parce que c'était des questions qui ne me 
préoccupaient pas autrement de qui et comment dirigeait l'école Cévenol. 
Enfin bon, il y avait le pasteur Trocmé, sûrement, qui était pour",neutral,0.9883024096488953,4
école Cévenol,45.06096,4.303929,961," classe. Il y avait un 
collège qui était l'école Cévenol. Et cette école Cévenol, donc, je ne me 
souviens pas exactement, parce que c'était des questions qui ne me 
préoccupaient pas autrement de qui et comment dirigeait l'école Cévenol. 
Enfin bon, il y avait le pasteur Trocmé, sûrement, qui était pour quelque 
chose.

Il y avait le pasteur Theis, qui était son adjoint. Et il y avait là des 
profs, des profs qui venaient d'un peu partout, et qui, comme nou",neutral,0.9870755076408386,4
Lycée Cévenol,45.06096,4.303929,961,"était de rejoindre la résistance armée. Et mon 
frère était donc monté au couloir comme moi, et à ce moment-là, il a pu, 
lui, continuer régulièrement sa scolarité, parce qu'il y avait un lycée 
protestant, qui s'appelait le Lycée Cévenol, au Chambon-sur-Lignon, et 
mon frère a pu immédiatement, d'un autre départ en mars 1943, entrer, je 
crois qu'il était en 5e ou 4e, entrer au Lycée Cévenol, il y avait très 
nombreux professeurs juifs, d'ailleurs, réfugiés ",neutral,0.9637989401817322,4
