Plateau_Locations,LAT,LON,ALT,Context,label,score,label_numeric
Chambon,45.06081,4.302941,961,"ue 
la CIMADE une organisation aidée par les quakers des protestants et sans 
comprendre comment et pourquoi fin août 41 on a formé un groupe de 14 
enfants on m'a mis sur une voiture dans un train et je me suis retrouvé 
au Chambon-sur-Lignon grâce à l'action des protestants du Chambon-sur-Lignon 
du pasteur Trocmé du Chambon-sur-Lignon ainsi que de la CIMADE 
j'ai eu donc une chance extraordinaire de me retrouver dans un village 
protestant j'avais po",joy,0.9942627549171448,3
Chambon,45.06081,4.302941,961,"s protestants et sans 
comprendre comment et pourquoi fin août 41 on a formé un groupe de 14 
enfants on m'a mis sur une voiture dans un train et je me suis retrouvé 
au Chambon-sur-Lignon grâce à l'action des protestants du Chambon-sur-Lignon 
du pasteur Trocmé du Chambon-sur-Lignon ainsi que de la CIMADE 
j'ai eu donc une chance extraordinaire de me retrouver dans un village 
protestant j'avais pour bagage une culotte courte et beaucoup d'angoisse 
ca",fear,0.47543540596961975,2
Chambon,45.06081,4.302941,961," et pourquoi fin août 41 on a formé un groupe de 14 
enfants on m'a mis sur une voiture dans un train et je me suis retrouvé 
au Chambon-sur-Lignon grâce à l'action des protestants du Chambon-sur-Lignon 
du pasteur Trocmé du Chambon-sur-Lignon ainsi que de la CIMADE 
j'ai eu donc une chance extraordinaire de me retrouver dans un village 
protestant j'avais pour bagage une culotte courte et beaucoup d'angoisse 
car de nouveau j'étais séparé de ma mère je",sad,0.4099951684474945,5
Chambon,45.06081,4.302941,961,"et beaucoup d'angoisse 
car de nouveau j'étais séparé de ma mère je ne savais pas ce qu'elle 
allait devenir mais j'étais là avec mon frère.  Donc j'ai eu une chance 
extraordinaire de survie alors je pourrais vous parler du Chambon-sur-Lignon 
on m'a nourri on m'a habillé il y a eu des rafles au Chambon-sur-Lignon 
on m'a protégé personne ne m'a jamais demandé si j'étais juif 
personne ne m'a demandé de pratiquer une quelconque religion bien que 
j'ai ",fear,0.43280136585235596,2
Chambon,45.06081,4.302941,961,"vais pas ce qu'elle 
allait devenir mais j'étais là avec mon frère.  Donc j'ai eu une chance 
extraordinaire de survie alors je pourrais vous parler du Chambon-sur-Lignon 
on m'a nourri on m'a habillé il y a eu des rafles au Chambon-sur-Lignon 
on m'a protégé personne ne m'a jamais demandé si j'étais juif 
personne ne m'a demandé de pratiquer une quelconque religion bien que 
j'ai vécu parmi les hommes de la Bible j'ai vécu dans un village de la 
France",neutral,0.8491947650909424,4
Chambon,45.06081,4.302941,961,"r ma mère libérée du camp 
de Gurs quelques mois avant la déportation de l'ensemble de la population 
juive de Gurs et par un très long cheminement par des petites étapes en 
faisant la bonne à tout faire elle est arrivée au Chambon-sur-Lignon où 
elle a vécu des petits boulots pendant que moi j'étais dans ce petit 
homme homme d'enfant et les protestants ont reçu des aides et des secours 
du Secours Suisse aux enfants et ce village a pu ainsi nous nour",neutral,0.7615011930465698,4
Chambon,45.06081,4.302941,961," cours complémentaire les années ont passé 
très vite nous avons vécu là bas, la libération j'ai passé mon bac encore 
dans la France occupée je suis allé passer mon bac au Puy en vélo j'ai 
loué une bicyclette pour aller du Chambon-sur-Lignon au Puy et je puis 
vous dire que la montagne le massif central c'est très dur surtout sur 
une bicyclette louée dès 1940 et c'était donc 44 juin 44.

Le Chambon-sur-Lignon avait, je vous l'ai déjà dit, la caractér",neutral,0.6769481301307678,4
Chambon,45.06081,4.302941,961," Puy en vélo j'ai 
loué une bicyclette pour aller du Chambon-sur-Lignon au Puy et je puis 
vous dire que la montagne le massif central c'est très dur surtout sur 
une bicyclette louée dès 1940 et c'était donc 44 juin 44.

Le Chambon-sur-Lignon avait, je vous l'ai déjà dit, la caractéristique 
d'avoir une population majoritairement protestante, huguenote. Il va un 
peu de protestants comme de juifs, c'est-à-dire une minorité religieuse 
ou pratiquante. E",neutral,0.890892744,4
Chambon,45.06081,4.302941,961,"mme de juifs, c'est-à-dire une minorité religieuse 
ou pratiquante. Et toutes les minorités sont toujours reliées à d'autres 
minorités équivalentes dans le monde.

Et par conséquent, à ma grande surprise, les protestants du Chambon-sur-Lignon 
étaient parfaitement informés, grâce à des relations avec des 
minorités protestantes d'autres endroits, en France et surtout en Suisse, 
de ce qui se passait dans le monde. Et nous étions tout à fait informés 
d",surprise,0.8653146624565125,6
Chambon,45.06081,4.302941,961,"se passait et nous avions la conscience de l'évolution de la 
guerre. Je voudrais à ce sujet vous raconter deux faits qui m'ont marqué.

Août 1942, la déportation des juifs du camp de Gurs. Nous l'avons su 
immédiatement. Le Chambon-sur-Lignon et tous les enfants juifs qui 
avaient encore des parents à Gurs, et même ceux qui n'en avaient pas, je 
me souviens, autour de moi, c'était comme une ruche d'abeilles.

Et je me souviens que le président de la Fé",sad,0.9208139777183533,5
