name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Haute-Loire,45.0591,3.7746,neutral,0.61,"I am sad and weary. During rest hour Mrs. Cavailhon called me. She received a letter asking whether she wanted to send some children to a very nice school in Haute-Loire at an elevation of one thousand meters. She selected me and another boy. I'll be able to go there but she is afraid that perhaps I won't be safe there. Monday, January 4, 1943 Mr. Brémond came to La Rouvière today.I practically flooded him with tears. Then he told me to pack my things within five minutes because he is taking me along. I can tell you that I was happy.",489,4
La Rouvière,43.84193,4.36592,sadness,0.75,"She selected me and another boy. I'll be able to go there but she is afraid that perhaps I won't be safe there. Monday, January 4, 1943 Mr. Brémond came to La Rouvière today.I practically flooded him with tears. Then he told me to pack my things within five minutes because he is taking me along. I can tell you that I was happy.",260,5
Les Caillols,43.2795,5.4302,neutral,0.6,"Then he told me to pack my things within five minutes because he is taking me along. I can tell you that I was happy. Tuesday, January 5, 1943 [Les Caillols] Mrs. Brémond (they got married) wrote a letter to Mr. Trocmé in which she asked him if he did not have an opening for me at his place. I had asked her to allow me to go to school. She gave this letter to a young girl, Simone Fullenbaum, who lived previously at Les Caillols and now lives at Les Grillons with Mr. Trocmé.",380,4
Les Grillons,45.059231,4.308447,joy,0.84,"She gave this letter to a young girl, Simone Fullenbaum, who lived previously at Les Caillols and now lives at Les Grillons with Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is thinking of you. Friday, January 15, 1943 We were told that we'll have to get out in two or three days. When I returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in luck. I quickly packed my suitcases so as to be able to leave early Saturday at 7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived.",595,3
Marseilles,43.296482,5.36978,neutral,0.67,"Friday, January 15, 1943 We were told that we'll have to get out in two or three days. When I returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in luck. I quickly packed my suitcases so as to be able to leave early Saturday at 7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived. Saturday, January 16, 1943 [ Le Chambon sur Lignon] I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève).",579,4
Le Chambon-sur-Lignon,45.06081,4.302941,joy,0.82,"At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived. Saturday, January 16, 1943 [ Le Chambon sur Lignon] I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).",600,3
St. Agrève,45.024214,4.381753,neutral,0.74,"I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.). Sunday, January 17, 1943 I got up at the stroke of nine [in the morning] and little by little got acquainted in the kitchen.",597,4
Les Grillons,45.059231,4.308447,joy,0.83,"Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.). Sunday, January 17, 1943 I got up at the stroke of nine [in the morning] and little by little got acquainted in the kitchen. It was really very nice and clean. Later, I went to see Amedée, the boy who was to come here with me. I played and thought a lot about you. There are children here in various situations (some like me).",526,3
Marseilles,43.296482,5.36978,neutral,0.63,"Today I went to school for the first time. Every day we have to cover twelve kilometers in the snow. It is much colder here than in Marseilles. I attend fifth class but no Latin. I got here one trimester too late. Wednesday, January 20, 1943 I go to school. Often think of you. I found an Austrian with whom I get along well and practice speaking German.",337,4
Vichy,46.128684,3.426978,neutral,0.65,"His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky! Friday, January 22, 1943 The UGIF now sends me three hundred francs every month. Mr. T. however takes them. Sunday, January 31, 1943 Again another month begins and I am still without news from you.",319,4
