toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,original_range,emotion_numeric
Germany,Germany,51.165691,10.451526,fear,0.89,"France. They didn't realize that they would be picked up there just as 
well as they could have been in Germany or in Hungary or in Romania or 
anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language.",328,"[206, 213]",2
Switzerland,Switzerland,46.7985624,8.2319736,fear,0.94,"Now I have described the happenings from then, and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple.",384,"[45196, 45207]",2
Spain,Spain,40.463667,-3.74922,neutral,0.88,"which was the home for students from all 
countries in Europe,  Spain, Belgium, Austria, Poland, Russia, 
approximately my age or older. 
There were all denominations. And we were supposed to be able to 
continue to some extent the studies, to the extent that the faculty was 
available. And we did indeed attend school.",382,"[180, 185]",4
Camp de Gurs,Camp de Gurs,43.340278,-0.724444,neutral,0.68,"Well, this comes, the, in, in the camp, in Camp de Gurs, it was, it didn't really matter. So in, sometime in September of 1942, a woman came to see my parents. We visited, my mother came over to visit us. And we were told that somebody is coming from the OSE. I don't know if you heard about the OSE, which is Oeuvre de Secour aux Enfants. And she asked several people if they would like to send that, one of their children, if the child is young enough, to send them somewhere where they would be safe. And my mother and father said, I think we should. And I said I don't want to go out without my brother. And they said, oh, no. You gonna go. So",502,"[44505, 44517]",4
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.0,"od there is fit for 
kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is 
thinking of you. 
Friday, January 15, 1943 
We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
wnt to sleep in the annex (I only s",1098,"[1001, 2211]",4
France,France,46.603354,1.888334,neutral,0.8,"I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there.",459,"[954, 960]",4
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.1,"od there is fit for 
kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is 
thinking of you. 
Friday, January 15, 1943 
We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex (I only s",951,"[1001, 2211]",4
Camp de Gurs,,0.0,0.0,neutral,0.0,,0,"[44425, 44437]",4
"Washington, DC","Washington, D.C.",38.89511,-77.03637,neutral,0.69,"Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne 
Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the 
fellow is Manfred, don't remember his last name. 
That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter.",322,"[44867, 44882]",4
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.5,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. ",323,"[2211, 2221]",4
Auch,Auch,43.646336,0.584971,neutral,0.81,"And in due time, I was given a 
French identity card with the name of Pierre Fesson. I kept my same birth 
date, but I was told that my place of birth was Auch, Gers, where I last 
lived with my parents.",222,"[7538, 7542]",4
Romania,Romania,45.9432,24.9668,sadness,0.82,"They didn't realize that they would be picked up there just as well as they could have been in Germany or in Hungary or in Romania or anywhere else. And they never talked the language. And they were, they were easy prey for the Germans because they themselves didn't have enough",308,"[8516, 8523]",5
France,France,46.603354,1.888334,neutral,0.7,"Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there.",573,"[954, 960]",4
Gers,Gers,43.75,0.583333,neutral,0.5,"f the Le 
Chambon, whose name was Andre Trocme. At first I didn't know where I was, 
what it was. I discovered later, especially after the war, many years 
after the war, that Le Chambon was a most unique village in France. 
It is located at about 3,000 feet elevation in the Massif Central, in the 
central mountain chain in France. Sort of isolated on a desolate plateau, 
very cold in the winter, windswept plateau. Agriculture was pretty 
rudimentary. 
But what made this village unusual was that in the country, that is 90% 
or 95% Catholic, this village was about 90% Protestant. And the 
villagers, under the leadership of their pastor, Andre Trocme, were 
inspired to live the Bible. 
These were very simple farmers, and they considered that the Jews were 
the chosen people of the Bible. They knew that they were hiding Jews. 
They also believed in helping, because the Bible says to them, help thy 
neighbor. If someone is sick, go and visit them at their sick bed. If 
someone is hungry, feed them. If someone needs shelter, give them 
shelter. 
And these people literally did so at great risk to themselves and their 
entire families. Because what they were doing was illegal. If caught, 
the",1078,"[7544, 7548]",4
Switzerland,Switzerland,46.818188,8.227512,fear,0.95,"Now I have described the happenings from then, and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people.",564,"[41317, 41328]",2
Hungary,Hungary,47.162494,19.503304,sadness,0.87,"They didn't realize that they would be picked up there just as well as they could have been in Germany or in Hungary or in Romania or anywhere else. And they never talked the language. And they were, they were easy prey for the Germans because they themselves didn't have enough, enough knowledge of a language.",345,"[245, 252]",5
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.0,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex (I only s",518,"[1001, 1011]",4
Alsace-Lorraine,Alsace-Lorraine,48.25,7.5,neutral,0.77,"He took the picture off my German identification card that had the big J for Jewish on it, and he put the photo on my new ID. He had to make sure that the swastika came off. My new name is Jacques Levet, and it says on my ID card that I was born in Alsace-Lorraine. That's close to the German border, so it might explain my German accent if I'm stopped. Pastor Theis says I can leave for Switzerland in a couple of days.",387,"[41540, 41555]",4
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,fear,0.0,"So by late December, December 31, I was notified that I would be shipped 
off to another location. And I was put on a train. And on New Year's Eve, 
they explained to me that there would be fewer patrols and police out, 
checking people's, traveler's papers, identity papers. And I was told to 
get off at a place called Le Chambon-sur-Lignon. 
And I arrived at about 4 o'clock in the morning. 3:00, 3:00 or 4 o'clock 
in the morning. It was a bitter, cold night. And I was met there by a 
young man named Daniel Trocme, who then took me, and we had a very, very 
long walk through the night. And ultimately, I wound up in a, a stone 
farmhouse called Les Grillons, the crickets, French word for crickets. 
And there I found myself together with about 22 or 24 other kids, ranging 
in age from about six, seven, up to about 17 or 18, boys and girls. And 
Daniel Trocme was our, call it then, then father. He was the, 
our supervisor and the m",769,"[44161, 44182]",2
Camp de Gurs,Camp de Gurs,43.3494,-0.7761,sadness,0.93,"Well, this comes, the, in, in the camp, in Camp de Gurs, it was, it didn't really matter. So in, sometime in September of 1942, a woman came to see my parents. We visited, my mother came over to visit us. And we were told that somebody is coming from the OSE. I don't know if you heard about the OSE, which is Oeuvre de Secour aux Enfants.",392,"[40698, 40710]",5
France,France,46.603354,1.888334,neutral,0.68,"Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m.",433,"[954, 960]",4
Grenoble,Grenoble,45.188529,5.724524,neutral,0.83,"And she took a, and then, it was a 
Monday she took us. She took me and another pastor who joined us there, took us 
to Grenoble, from Grenoble to Annecy. 
As a matter of fact, the French resistance in Le Chambon was very, very big too, 
which, but they had passive resistance there.",280,"[41919, 41927]",4
