name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Haute-Loire,45.0835,3.8876,sadness,0.89,I am sad and weary. During rest hour Mrs. Cavailhon called me. She received a letter asking whether she wanted to send some children to a very nice school in Haute-Loire at an elevation of one thousand meters.  She selected me and another boy. I'll be able to go there but she is afraid that perhaps I won't be safe there.,265,5
La Rouvière,44.141432,4.354236,sadness,0.81,"Monday, January 4, 1943  Mr. Brémond came to La Rouvière today.I practically flooded him with tears. Then he told me to pack my things within five minutes because he is taking me along. I can tell you that I was happy.",185,5
Les Caillols,43.313675,5.458079,neutral,0.6,"Tuesday, January 5, 1943 [Les Caillols]  Mrs. Brémond (they got married) wrote a letter to Mr. Trocmé in which she asked him if he did not have an opening for me at his place. I had asked her to allow me to go to school. She gave this letter to a young girl, Simone Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les Grillons  with  Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is thinking of you.",355,4
Les Grillons,45.062927,4.291207,joy,0.84,"She gave this letter to a young girl, Simone Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les Grillons  with  Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is thinking of you.",227,3
Marseilles,43.296482,5.36978,neutral,0.62,"When I returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in luck. I quickly packed my suitcases so as to be able to leave early Saturday at 7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived.",301,4
Le Chambon-sur-Lignon,45.06081,4.302941,joy,0.91,"Saturday, January 16, 1943 [ Le Chambon sur Lignon]  I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there.  Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).",504,3
St. Agrève,45.028893,4.420681,neutral,0.71,I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there.  Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).,288,4
Les Grillons,45.062927,4.291207,joy,0.85,Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).,169,3
Marseilles,43.296482,5.36978,neutral,0.61,It is much colder here than in Marseilles. I attend fifth class but no Latin. I got here one trimester too late.,117,4
Gurs,43.3466,-0.7534,sadness,0.93,His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week!  Lucky! Lucky!,180,5
