toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,original_range,emotion_numeric
Drancy,Drancy,48.922873,2.444622,fear,0.91,"This idyll didn't last too long, because already in July the French 
started collecting all the Jews for deportation to the either Drancy or 
to the east. And we were affected in Chambon. 
Now I have described the happenings from then, and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland.",432,"[37686, 37692]",2
Gurs,Gurs internment camp,43.2986,-0.7122,sadness,0.91,I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky!,292,"[37757, 37761]",5
Toulouse,Toulouse,43.6045,1.444,neutral,0.81,"they gathered us together, and we went on a train with a nice 
young lady. Her name was Hirsch. And she took us by train to Toulouse. 
We stayed there overnight with a, a French, with a, a Swiss Red Cross, a 
children's help. And we stayed overnight. And then the next day,",278,"[30386, 30394]",4
Auschwitz,Auschwitz concentration camp,50.0359,19.1784,sadness,0.98,"We knew that it was critical, because at that time we 
knew already that my parents went to Drancy, and from Drancy to Auschwitz. 
We had known, because one of the girls who came out of Gurs with me, she went 
to visit her mother and saw my parents on the, in the, going onto the train to 
Drancy. 
Well, I cried. And I, I was besides myself. To lose my parents, that's, well, 
I didn't say, I wouldn't say lose. I, I, I didn't think they would be killed. 
But to don't know where my parents were, I was really besides myself, and so 
was my brother. So we didn't know what's next.",392,"[213, 222]",5
Camp de Gurs,Camp de Gurs,43.3883,-0.7356,neutral,0.72,"Well, this comes, the, in, in the camp, in Camp de Gurs, it was, it didn't really matter. So in, sometime in September of 1942, a woman came to see my parents. We visited, my mother came over to visit us. And we were told that somebody is coming from the OSE. I don't know if you heard about the OSE, which is Oeuvre de Secour aux Enfants. And she asked several people if they would like to send that, one of their children, if the child is young enough, to send them somewhere where they would be safe. And my mother and father said, I think we should. And I said I don't want to go out without my brother. And they said, oh, no. You gonna go. So",482,"[31062, 31074]",4
Massif Central,Massif Central,45.5,3.0,neutral,0.77,"I discovered later, especially after the war, many years 
after the war, that Le Chambon was a most unique village in France. 
It is located at about 3,000 feet elevation in the Massif Central, in the 
central mountain chain in France. Sort of isolated on a desolate plateau, 
very cold in the winter, windswept plateau. Agriculture was pretty 
rudimentary. 
But what made this village unusual was that in the country, that is 90% 
or 95% Catholic, this village was about 90% Protestant. And the 
villagers, under the leadership of their pastor, Andre Trocme, were 
inspired to live the Bible. 
These were very simple farmers, and they considered that the Jews were 
the chosen people of the Bible. They knew that they were hiding Jews. 
They also believed in helping, because the Bible says ",624,"[4275, 5489]",4
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.7,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there.",420,"[163, 183]",4
Lyon,Lyon,45.75,4.85,fear,0.81,"He was minister of finance under de Gaulle, who left France, in, under the 
Nazis' eyes of the airport in Lyon, and went to England, and from England 
to Algiers.  And the, his wife was really special to me, because she was 
like a mother to me. And I used to visit her almost every day.",303,"[31571, 31575]",2
College Cevenol,Collège Cévenol,45.0677,4.3084,neutral,0.81,"And so I found shelter there. I, I was sent to school, to a school that they had organized, which was called the College Cevenol. As a matter of fact, that school is a private school today that still, still is in existence. We, under the circumstance, and in retrospect, lived a fairly good life. There being villagers, we, I mean, farmers.",375,"[5241, 5256]",4
Le Chambon-sur Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,sadness,0.91,"And then the next day, we went 
to the Le Chambon-sur Lignon, which is, was a haven for a lot of Jewish 
people. 
So this is when you separated from your parents? 
That's right, and from my brother. 
It was not easy for me. It was very hard for them. They knew this might be 
it. And my brother was, I said to my brother when I left, I said, I'll see 
what I can do to get you out when I'm there. Just let me get my feet on 
the ground.",390,"[30489, 30510]",5
