toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,original_range,emotion_numeric
Washington,,0,0,neutral,0,,0,"[10816, 10826]",4
France,,0,0,neutral,0,,0,"[954, 960]",4
Romania,Romania,45.9432,24.9668,sadness,0.91,"biggest tragedy of that time was to have those people 
who came from Eastern Europe and escaped to France. And France was the 
haven. I mean, they thought nothing could happen to them when they got to 
France. They didn't realize that they would be picked up there just as 
well as they could have been in Germany or in Hungary or in Romania or 
anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language. And if they spoke the language a little, they 
had a terrible accent. So they were immediately denounced. 
And the children were usually left? 
Sometimes. Sometimes not, depending.",691,"[9668, 9675]",5
Chambon,"Le Chambon-sur-Lignon, Haute-Loire, France",45.0586,4.2936,neutral,0.98,"At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex (I only s",600,"[10863, 10870]",4
France,France,46.603354,1.888334,neutral,0.81,"We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there.",698,"[954, 2160]",4
Haute-Loire,"Haute-Loire, France",45.0677,3.8796,sadness,0.97,"Monday, September 21, 1942 
I am sad and weary. During rest hour Mrs. Cavailhon called me. She 
received a letter asking whether she wanted to send some children to a very nice 
school in Haute-Loire at an elevation of one thousand meters.  She selected me 
and another boy. I'll be able to go there but she is afraid that perhaps I 
won't be safe there.",414,"[111, 125]",5
Chambon-sur-Lignon,"Le Chambon-sur-Lignon, Haute-Loire, Auvergne-Rhône-Alpes, France",45.0614,4.2934,neutral,0.72,"... And I was told to 
get off at a place called Le Chambon-sur-Lignon. 
And I arrived at about 4 o'clock in the morning. 3:00, 3:00 or 4 o'clock 
in the morning. It was a bitter, cold night. And I was met there by a 
young man named Daniel Trocme, who then took me, and we had a very, very 
long walk through the night. And ultimately, I wound up in a, a stone 
farmhouse called Les Grillons, the crickets, French word for crickets. 
And there I found myself together with about 22 or 24 other kids, ranging 
in age from about six, seven, up to about 17 or 18, boys and girls. And 
Daniel Trocme was our, call it then, then father. He was the, 
our supervisor and the m",544,"[11224, 11243]",4
Europe,Europe,54.526,15.2551,sadness,0.88,"And it was the biggest tragedy of that time was to have those people 
who came from Eastern Europe and escaped to France. And France was the 
haven. I mean, they thought nothing could happen to them when they got to 
France. They didn't realize that they would be picked up there just as 
well as they could have been in Germany or in Hungary or in Romania or 
anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language. And if they spoke the language a little, they 
had a terrible accent. So they were immediately denounced.",547,"[11523, 11529]",5
Germany,Germany,51.1657,10.4515,sadness,0.78,"And France was the 
haven. I mean, they thought nothing could happen to them when they got to 
France. They didn't realize that they would be picked up there just as 
well as they could have been in Germany or in Hungary or in Romania or 
anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language. And if they spoke the language a little, they 
had a terrible accent. So they were immediately denounced. 
And the children were usually left? 
Sometimes. Sometimes not, depending.",470,"[9638, 9645]",5
Saint-Etienne,"Saint-Étienne, France",45.4397,4.3872,neutral,0.89,"Yeah. I put my children in, I told you once about Le Chambon. I 
mean, if you ever go to the museum, the Holocaust museum in Washington, 
you'll see a very good display of what Chambon was. 
It was a little village up above Saint-Etienne, about 15 miles away. The 
head of that village was a famous pastor, a Protestant pastor by the name 
of Trocme. He and his wife and the children lived, of course, in the, in 
the, what do you call the house that belongs to the church, where they 
live? 
And there were 5,000 villager there. And somebody had heard that someone 
in that village would hide them. So all of a sudden, one Jewish family 
came there and went to the pastor.",586,"[10884, 10898]",4
Eastern Europe,Eastern Europe,54,25,sadness,0.88,"And it was the biggest tragedy of that time was to have those people 
who came from Eastern Europe and escaped to France. And France was the 
haven. I mean, they thought nothing could happen to them when they got to 
France. They didn't realize that they would be picked up there just as 
well as they could have been in Germany or in Hungary or in Romania or 
anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language. And if they spoke the language a little, they 
had a terrible accent. So they were immediately denounced.",618,"[9441, 9454]",5
