toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,original_range,emotion_numeric
Eastern Europe,Eastern Europe,54.526,15.2551,sadness,0.92,"there were so many children who were abandoned, abandoned by the Germans, when they took their parents and left the children behind. I mean, and those kids could practically speak no French. And it was the biggest tragedy of that time was to have those people who came from Eastern Europe and escaped to France. And France was the haven. I mean, they thought nothing could happen to them when they got to France.",427,"[8131, 8144]",5
France,France,46.603354,1.888334,neutral,0.7,"I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at",433,"[142, 148]",4
Auschwitz,Auschwitz concentration camp,50.0359,19.1784,sadness,0.99,"Well, I guess. Oh, yes. We knew that it was critical, because at that time we knew already that my parents went to Drancy, and from Drancy to Auschwitz. We had known, because one of the girls who came out of Gurs with me, she went to visit her mother and saw my parents on the, in the, going onto the train to Drancy. Well, I cried. And I, I was besides myself. To lose my parents, that's, well, I didn't say, I wouldn't say lose. I, I, I didn't think they would be killed. But to don't know where my parents were, I was really besides myself, and so was my brother. So we didn't know what's next. What can we do next?",487,"[37643, 37652]",5
Germany,Germany,51.165691,10.451526,fear,0.91,"They didn't realize that they would be picked up there just as well as they could have been in Germany or in Hungary or in Romania or anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language.",342,"[271, 278]",2
Le Puy,Le Puy-en-Velay,45.0436,3.8852,fear,0.96,"They say they're taking us to Le Puy, which is where the Nazis are. I'm scared.",84,"[38825, 38831]",2
France,France,46.603354,1.888334,neutral,0.7,"Mrs. B. told me that she received a telegram from Mr. Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in luck. I quickly packed my suitcases so as to be able to leave early Saturday at 7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived. Saturday, January 16, 1943 [ Le Chambon sur Lignon] I took leave, took the first streetcar at 6 a.m.",418,"[184, 190]",4
Drancy,"Drancy, Seine-Saint-Denis, France",48.9258,2.4453,fear,0.95,"because already in July the French 
started collecting all the Jews for deportation to the either Drancy or 
to the east. And we were affected in Chambon. 
Now I have described the happenings from then, and my first flight to 
Switzerland over the mountains in a diary",245,"[350, 356]",2
Hungary,Hungary,47.162494,19.503304,sadness,0.81,"France. They didn't realize that they would be picked up there just as 
well as they could have been in Germany or in Hungary or in Romania or 
anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language. And if they spoke the language a little, they 
had a terrible accent.",342,"[8301, 8308]",5
Vichy,Vichy,46.1287,3.4264,neutral,0.78,"I found an Austrian with whom I get along well 
and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. 
His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky! 
Friday, January 22, 1943 
The UGIF now sends me three hundred francs every month.",393,"[18962, 18967]",4
"Auch, Gers","Auch, Gers",43.6467,0.58497,neutral,0.78,"I was given a French identity card with the name of Pierre Fesson. I kept my same birth date, but I was told that my place of birth was Auch, Gers, where I last lived with my parents. What kinds of contact, if any, did you ever have with either the resistance or with any of the, the groups that were attempting to fight the Germans from within France? The only contact, or the first contact, if you will, were in Le Chambon. There was, in the area, not in Le Chambon itself, but in the area, apparently there was a Jewish underground organization.",433,"[7545, 7555]",4
