name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Haute-Loire,45.1333,3.9167,sadness,0.85,I am sad and weary. During rest hour Mrs. Cavailhon called me. She received a letter asking whether she wanted to send some children to a very nice school in Haute-Loire at an elevation of one thousand meters.  She selected me and another boy. I'll be able to go there but she is afraid that perhaps I won't be safe there.,312,5
La Rouvière,44.0531,4.3931,joy,0.91,"Monday, January 4, 1943 Mr. Brémond came to La Rouvière today.I practically flooded him with tears. Then he told me to pack my things within five minutes because he is taking me along. I can tell you that I was happy.",202,3
Les Caillols,43.3047,5.4481,neutral,0.68,"Tuesday, January 5, 1943 [Les Caillols] Mrs. Brémond (they got married) wrote a letter to Mr. Trocmé in which she asked him if he did not have an opening for me at his place. I had asked her to allow me to go to school. She gave this letter to a young girl, Simone Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les Grillons  with  Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is thinking of you.",420,4
Les Grillons,45.06081,4.302941,joy,0.93,"She gave this letter to a young girl, Simone Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les Grillons  with  Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is thinking of you.",255,3
Marseilles,43.2965,5.3698,neutral,0.67,"When I returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in luck. I quickly packed my suitcases so as to be able to leave early Saturday at 7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived.",312,4
Le Chambon-sur-Lignon,45.06081,4.302941,joy,0.95,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).",600,3
St. Agrève,45.0111,4.3892,neutral,0.71,I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).,273,4
Les Grillons,45.06081,4.302941,joy,0.92,"Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.). Sunday, January 17, 1943 I got up at the stroke of nine [in the morning] and little by little got acquainted in the kitchen. It was really very nice and clean. Later, I went to see Amedée, the boy who was to come here with me. I played and thought a lot about you. There are children here in various situations (some like me).",377,3
Marseilles,43.2965,5.3698,neutral,0.66,"It is much colder here than in Marseilles. I attend fifth class but no Latin. I got here one trimester too late. Wednesday, January 20, 1943 I go to school. Often think of you. I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky!",314,4
Gurs,43.3167,-0.7167,sadness,0.87,I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky!,222,5
Vichy,46.1287,3.4264,neutral,0.69,"His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky! Friday, January 22, 1943 The UGIF now sends me three hundred francs every month. Mr. T. however takes them.",202,4
France,46.603354,1.888334,neutral,0.72,"And so I found shelter there. I, I was sent to school, to a school that they had organized, which was called the College Cevenol. As a matter of fact, that school is a private school today that still, still is in existence. We, under the circumstance, and in retrospect, lived a fairly good life. There being villagers, we, I mean, farmers. Excuse me. We often, daily, some of us were sent into town to pick up food, vegetables, potatoes, things that were not readily available to, to the population at large. We were looked after and fed. And every so often, we would be told to suddenly leave the classroom or leave our home, Les Grillons, and go pick mushrooms. Go, everybody, into the woods. Later on we learned that when that happened, it was the result of an anonymous phone call to the leadership in the village, warning them that there would be a raid, and that they were coming out to hunt for Jews or illegal residents there. And we would be kept in the woods until the all clear signal was given, and we would then come back into town. During that period, they then also provided us with false identification cards. They took identity pictures of us. And in due time, I was given a French identity card with the name of Pierre Fesson. I kept my same birth date, but I was told that my place of birth was Auch, Gers, where I last lived with my parents. What kinds of contact, if any, did you ever have with either the resistance or with any of the, the groups that were attempting to fight the Germans from within France? The only contact, or the first contact, if you will, were in Le Chambon. There was, in the area, not in Le Chambon itself, but in the area, apparently there was a Jewish underground organization. I think at one point I may have been taken together with several other kids to this group. I remember they were dancing the Hora, which was the first time I ever saw that. And we sang some songs, resistance songs. The, the people in Le Chambon did the right thing. And if they worried about whether or not it could affect them personally or their family, they put justice right before any other consideration. So I say to, to the young people today in the schools, if you see an injustice being committed, don't turn your back on it. Get involved. Speak up.",600,4
Le Chambon,45.06081,4.302941,joy,0.94,"The only contact, or the first contact, if you will, were in Le Chambon. There was, in the area, not in Le Chambon itself, but in the area, apparently there was a Jewish underground organization. I think at one point I may have been taken together with several other kids to this group. I remember they were dancing the Hora, which was the first time I ever saw that. And we sang some songs, resistance songs. The, the people in Le Chambon did the right thing. And if they worried about whether or not it could affect them personally or their family, they put justice right before any other consideration. So I say to, to the young people today in the schools, if you see an injustice being committed, don't turn your back on it. Get involved. Speak up.",600,3
